#
# Reasons.csv
#
# RID -> Reason table for MeshConsole and other uses.
#
# Generated by EmotionProcessor.py
#
# !!! DO NOT EDIT !!!
#
# Generated at 2014-07-02 06:07:46
#
0,r000
1,hub
2,uliza
3,grave
4,church
5,kabak
6,r006
7,r007
8,r008
9,r009
10,r010
11,r011
12,r012
13,r013
14,r014
15,r015
16,r016
17,r017
18,r018
19,r019
20,r020
21,r021
22,r022
23,r023
24,r024
25,r025
26,r026
27,r027
28,r028
29,r029
30,r030
31,r031
32,r032
33,r033
34,r034
35,r035
36,r036
37,r037
38,r038
39,r039
40,r040
41,r041
42,r042
43,r043
44,r044
45,r045
46,r046
47,r047
48,r048
49,r049
50,r050
51,r051
52,r052
53,r053
54,r054
55,r055
56,r056
57,r057
58,r058
59,r059
60,r060
61,r061
62,r062
63,r063
64,r064
65,r065
66,r066
67,r067
68,r068
69,r069
70,r070
71,r071
72,r072
73,r073
74,r074
75,r075
76,r076
77,r077
78,r078
79,r079
80,r080
81,r081
82,r082
83,r083
84,r084
85,r085
86,r086
87,r087
88,r088
89,r089
90,r090
91,r091
92,r092
93,r093
94,r094
95,r095
96,r096
97,r097
98,r098
99,r099
100,r100
101,Parcs
102,Dawson
103,Huxley
104,Graywood
105,Hill
106,Malone
107,Clayton
108,Durden
109,Epstein
110,Sunday
111,Lehndorff
112,Williams
113,r113
114,r114
115,r115
116,r116
117,r117
118,r118
119,r119
120,r120
121,r121
122,r122
123,r123
124,r124
125,r125
126,r126
127,r127
128,r128
129,r129
130,r130
131,r131
132,r132
133,r133
134,r134
135,r135
136,r136
137,r137
138,r138
139,r139
140,r140
141,r141
142,r142
143,r143
144,r144
145,r145
146,r146
147,r147
148,r148
149,r149
150,r150
151,r151
152,r152
153,r153
154,r154
155,r155
156,r156
157,r157
158,r158
159,r159
160,r160
161,r161
162,r162
163,r163
164,r164
165,r165
166,r166
167,r167
168,r168
169,r169
170,r170
171,r171
172,r172
173,r173
174,r174
175,r175
176,r176
177,r177
178,r178
179,r179
180,r180
181,r181
182,r182
183,r183
184,r184
185,r185
186,r186
187,r187
188,r188
189,r189
190,r190
191,r191
192,r192
193,r193
194,r194
195,r195
196,r196
197,r197
198,r198
199,r199
200,xFon
201,xWrong
202,xMaster
203,xSilence
204,xTuman
205,xNegativ
206,xRavnodushie
207,xSkuka
208,xApatiya
209,xDepressiya
210,xZlost'
211,xGnev
212,xYarost'
213,xRazdrazhenie
214,xGrust'
215,xToska
216,xObrechennost'
217,xOtchayanie
218,xNeuverennost'
219,xOzabochennost'
220,xNapryazhennost'
221,xIsterika
222,xSomnenie
223,xTrevozhnost'
224,xStrah
225,xUzhas
226,xPanika
227,xFobiya
228,xParanojya
229,xNepriyazn'
230,xNenavist'
231,xOtvraschenie
232,xPrezrenie
233,xNeudovletvorennost'
234,xSozhalenie
235,xStyid
236,xRazrushenie
237,xDraka
238,xUbijstvo
239,xPozitiv
240,xVesel'e
241,xRadost'
242,xVostorg
243,xDovol'stvo
244,xGordost'
245,xUdovletvorenie
246,xLyubopyitstvo
247,xInteres
248,xUvlechennost'
249,xAzart
250,xVoodushevlenie
251,xTseleustremlennost'
252,xOtvaga
253,xReshimost'
254,xVdohnovenie
255,xPriyazn'
256,xSimpatiya
257,xPrivyazannost'
258,xLyubov'
259,xVozhdelenie
260,xUmilenie
261,xNadezhda
262,xPredvkushenie
263,xVera
264,xUverennost'
265,xPokoj
266,xUmirotvorenie
267,xNostal'giya
268,xSoperezhivanie
269,xSostradanie
270,xSozidanie
271,xSeks
272,xZhelanie
273,xVlechenie
274,xStrast'
275,xOderzhimost'
276,xManiya
277,xZainteresovannost'
278,xZavisimost'
279,xDuhovnoe
280,xTrans
281,xMeditatsiya
282,xEkzal'tatsiya
283,xProsvetlenie
